gen_id,bucket,is_hex_bucket,file_count,total_size_bytes,total_size_gib,zero_byte_files,small_1kb_or_less,large_1mb_or_more,large_100mb_or_more,category_counts,magic_counts
0401_053959,2e,True,211,21743552,0.0203,0,60,6,0,"{""snapshot_file"": 211}","{""binary_or_unknown"": 209, ""json_like"": 2}"
0401_053959,2f,True,203,344611600,0.3209,0,50,8,1,"{""snapshot_file"": 203}","{""binary_or_unknown"": 202, ""json_like"": 1}"
0401_053959,30,True,201,1324967632,1.234,0,52,11,4,"{""snapshot_file"": 201}","{""binary_or_unknown"": 199, ""json_like"": 2}"
0401_053959,31,True,204,433342208,0.4036,0,58,6,1,"{""snapshot_file"": 204}","{""binary_or_unknown"": 204}"
0401_053959,32,True,192,16551856,0.0154,0,52,5,0,"{""snapshot_file"": 192}","{""binary_or_unknown"": 192}"
0401_053959,33,True,195,459230864,0.4277,0,61,9,1,"{""snapshot_file"": 195}","{""binary_or_unknown"": 192, ""json_like"": 3}"
0401_053959,34,True,204,1040948400,0.9695,0,56,14,3,"{""snapshot_file"": 204}","{""binary_or_unknown"": 202, ""json_like"": 2}"
0401_053959,35,True,200,23359008,0.0218,0,60,4,0,"{""snapshot_file"": 200}","{""binary_or_unknown"": 198, ""json_like"": 2}"
0401_053959,36,True,202,16712016,0.0156,0,52,4,0,"{""snapshot_file"": 202}","{""binary_or_unknown"": 200, ""json_like"": 2}"
0401_053959,37,True,202,18169808,0.0169,0,55,4,0,"{""snapshot_file"": 202}","{""binary_or_unknown"": 200, ""json_like"": 2}"
0401_053959,38,True,203,331061968,0.3083,0,63,6,1,"{""snapshot_file"": 203}","{""binary_or_unknown"": 201, ""json_like"": 2}"
0401_053959,39,True,189,292017568,0.272,0,43,6,1,"{""snapshot_file"": 189}","{""binary_or_unknown"": 188, ""json_like"": 1}"
0401_053959,3a,True,222,14281856,0.0133,0,63,3,0,"{""snapshot_file"": 222}","{""binary_or_unknown"": 221, ""json_like"": 1}"
0401_053959,3b,True,185,346929664,0.3231,0,57,6,1,"{""snapshot_file"": 185}","{""binary_or_unknown"": 185}"
