bucket,is_hex_bucket,file_count,total_size_bytes,total_size_gib,zero_byte_files,small_1kb_or_less,large_1mb_or_more,large_100mb_or_more,category_counts,magic_counts
28,True,79,352303680,0.3281,0,23,5,1,"{""snapshot_file"": 79}","{""binary_or_unknown"": 79}"
29,True,84,13147200,0.0122,0,35,3,0,"{""snapshot_file"": 84}","{""binary_or_unknown"": 83, ""json_like"": 1}"
2a,True,86,18278960,0.017,0,32,5,0,"{""snapshot_file"": 86}","{""binary_or_unknown"": 86}"
2b,True,72,374905440,0.3492,0,23,5,1,"{""snapshot_file"": 72}","{""binary_or_unknown"": 72}"
2c,True,86,865692528,0.8062,0,37,7,2,"{""snapshot_file"": 86}","{""binary_or_unknown"": 84, ""json_like"": 2}"
2d,True,65,945587264,0.8806,0,29,5,3,"{""snapshot_file"": 65}","{""binary_or_unknown"": 65}"
2e,True,79,11454400,0.0107,0,30,3,0,"{""snapshot_file"": 79}","{""binary_or_unknown"": 79}"
2f,True,76,329406816,0.3068,0,28,3,1,"{""snapshot_file"": 76}","{""binary_or_unknown"": 76}"
30,True,90,1310633872,1.2206,0,30,8,4,"{""snapshot_file"": 90}","{""binary_or_unknown"": 89, ""json_like"": 1}"
31,True,71,327157776,0.3047,0,28,2,1,"{""snapshot_file"": 71}","{""binary_or_unknown"": 71}"
32,True,74,7664480,0.0071,0,28,3,0,"{""snapshot_file"": 74}","{""binary_or_unknown"": 74}"
33,True,68,350849232,0.3268,0,27,3,1,"{""snapshot_file"": 68}","{""binary_or_unknown"": 67, ""json_like"": 1}"
34,True,90,645826944,0.6015,0,29,9,2,"{""snapshot_file"": 90}","{""binary_or_unknown"": 90}"
35,True,77,11128448,0.0104,0,33,4,0,"{""snapshot_file"": 77}","{""binary_or_unknown"": 77}"
36,True,70,9041600,0.0084,0,28,3,0,"{""snapshot_file"": 70}","{""binary_or_unknown"": 70}"
37,True,78,11048624,0.0103,0,29,3,0,"{""snapshot_file"": 78}","{""binary_or_unknown"": 77, ""json_like"": 1}"
38,True,83,323376256,0.3012,0,39,5,1,"{""snapshot_file"": 83}","{""binary_or_unknown"": 82, ""json_like"": 1}"
